trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.6, 'e': 0.4888720818605275}",30,0,-4.633500690278316,"{0: 24, 1: 4, 2: 2, 3: 0, 4: 0}",0
107,False,"{'a': 0.6, 'e': 0.4801242290285341}",30,6,-92.19596199850281,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 2}",1
108,False,"{'a': 0.6, 'e': 0.47132836417373997}",20,0,-27.807455892227914,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
109,False,"{'a': 0.6, 'e': 0.4624853668753008}",20,0,-41.36230117568461,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
110,False,"{'a': 0.6, 'e': 0.4535961214255773}",20,12,3.6171578824380277,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
111,False,"{'a': 0.6, 'e': 0.4446615167417068}",20,1,8.291596478139951,"{0: 16, 1: 3, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.6, 'e': 0.4356824462767121}",25,16,4.06370381666316,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.6, 'e': 0.42665980793015723}",20,11,-12.983021047209844,"{0: 7, 1: 1, 2: 0, 3: 1, 4: 0}",1
114,False,"{'a': 0.6, 'e': 0.41759450395835795}",25,0,29.776482574920063,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
115,False,"{'a': 0.6, 'e': 0.40848744088415717}",30,11,-61.98001837164198,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 2}",1
116,False,"{'a': 0.6, 'e': 0.3993395294062732}",20,3,7.7497934724017385,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
117,False,"{'a': 0.6, 'e': 0.3901516843082303}",25,14,-34.04245052130686,"{0: 7, 1: 2, 2: 0, 3: 2, 4: 0}",1
118,False,"{'a': 0.6, 'e': 0.38092482436688185}",20,3,-9.163697840049702,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 0}",1
119,False,"{'a': 0.6, 'e': 0.371659872260533}",20,3,6.032167344751478,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
120,False,"{'a': 0.6, 'e': 0.3623577544766736}",25,0,-10.996525090955846,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
121,False,"{'a': 0.6, 'e': 0.3530194012193304}",25,18,2.353849477754406,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
122,False,"{'a': 0.6, 'e': 0.34364574631604705}",25,4,-20.77186460698119,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 1}",1
123,False,"{'a': 0.6, 'e': 0.3342377271245026}",20,10,-37.59036914978071,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
124,False,"{'a': 0.6, 'e': 0.32479628443877623}",25,11,16.976661302747694,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.6, 'e': 0.3153223623952687}",25,0,-12.68480427450491,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
126,False,"{'a': 0.6, 'e': 0.30581690837828934}",30,0,-28.05123063544367,"{0: 25, 1: 3, 2: 1, 3: 0, 4: 1}",0
127,False,"{'a': 0.6, 'e': 0.29628087292531874}",20,0,15.41329931488121,"{0: 18, 1: 2, 2: 0, 3: 0, 4: 0}",0
128,False,"{'a': 0.6, 'e': 0.2867152096319555}",25,13,17.544383213523172,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.6, 'e': 0.2771208750565576}",20,4,11.876730435646175,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.6, 'e': 0.26749882862458735}",25,0,-40.80615083977926,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
131,False,"{'a': 0.6, 'e': 0.25785003253266964}",20,0,11.220596730120427,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
132,False,"{'a': 0.6, 'e': 0.2481754516523729}",30,13,19.632916996051428,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.6, 'e': 0.23847605343372313}",20,12,6.326592940586405,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
134,False,"{'a': 0.6, 'e': 0.22875280780845939}",20,6,12.789717758307159,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
